column_0,Auburn,Opponents
Scoring: Points/Game,27.8,21.3
Scoring: Games - Points,12 - 333,12 - 256
First Downs: Total,252,213
First Downs: Rushing - Passing - By Penalty,108 - 127 - 17,90 - 101 - 22
Rushing: Yards / Attempt,4.92,3.08
Rushing: Attempts - Yards - TD,404 - 1986 - 13,459 - 1413 - 18
Passing: Rating,151.53,123.54
Passing: Yards,3167,2556
Passing: Attempts - Completions - Interceptions - TD,369 - 230 - 13 - 27,354 - 199 - 8 - 12
Total Offense: Yards / Play,6.67,4.88
Total Offense: Plays - Yards,773 - 5153,813 - 3969
Punt Returns: Yards / Return,6.84,3.75
Punt Returns: Returns - Yards - TD,19 - 130 - 1,8 - 30 - 0
Kickoff Returns: Yards / Return,22.13,20.50
Kickoff Returns: Returns - Yards - TD,23 - 509 - 0,16 - 328 - 0
Punting: Yards / Punt,42.46,43.36
Punting: Punts - Yards,41 - 1741,61 - 2645
Interceptions: Returns - Yards - TD,8 - 58 - 0,13 - 114 - 1
Fumbles: Number - Lost,15 - 9,14 - 5
Penalties: Number - Yards,69 - 592,78 - 642
Time of Possession / Game,27:13.83,31:56.17
3rd Down Conversions: Conversion %,41.78%,39.67%
3rd Down Conversions: Attempts - Conversions,146 - 61,184 - 73
4th Down Conversions: Conversion %,47.37%,52.63%
4th Down Conversions: Attempts - Conversions,19 - 9,19 - 10
Red Zone: Success %,78.05%,78.38%
Red Zone: Attempts - Scores,41 - 32,37 - 29
Field Goals: Success %,54.5%,59.1%
Field Goals: Attempts - Made,22 - 12,22 - 13
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,41 - 41,27 - 27
2-Point Conversions: Success %,66.67%,33.33%
2-Point Conversions: Attempts - Made,3 - 2,6 - 2
