Date,Opponent,Result,Game Time,Attendance
09/02/22,@ Duke,L 0-30,2:53,20722
09/10/22,Lafayette,W 30-14,3:06,18430
09/17/22,Rutgers,L 14-16,3:45,33297
09/24/22,Massachusetts,W 28-0,3:10,14033
10/01/22,@ Memphis,L 3-24,3:09,23239
10/13/22,@ UCF,L 13-70,3:23,41729
10/21/22,Tulsa,L 16-27,3:31,13607
10/29/22,@ Navy,L 20-27,3:38,31141
11/05/22,USF,W 54-28,3:10,13862
11/12/22,@ Houston,L 36-43,3:22,21731
11/19/22,Cincinnati,L 3-23,3:13,14673
11/26/22,East Carolina,L 46-49,3:21,13037
