column_0,Auburn,Opponents
Scoring: Points/Game,30.9,19.2
Scoring: Games - Points,13 - 402,13 - 249
First Downs: Total,265,247
First Downs: Rushing - Passing - By Penalty,128 - 115 - 22,95 - 122 - 30
Rushing: Yards / Attempt,4.25,3.72
Rushing: Attempts - Yards - TD,512 - 2177 - 25,475 - 1767 - 9
Passing: Rating,140.12,118.11
Passing: Yards,2892,2853
Passing: Attempts - Completions - Interceptions - TD,382 - 233 - 5 - 21,422 - 234 - 14 - 16
Total Offense: Yards / Play,5.67,5.15
Total Offense: Plays - Yards,894 - 5069,897 - 4620
Punt Returns: Yards / Return,10.75,3.36
Punt Returns: Returns - Yards - TD,32 - 344 - 1,11 - 37 - 0
Kickoff Returns: Yards / Return,21.52,19.44
Kickoff Returns: Returns - Yards - TD,21 - 452 - 1,16 - 311 - 0
Punting: Yards / Punt,43.96,39.16
Punting: Punts - Yards,57 - 2506,73 - 2859
Interceptions: Returns - Yards - TD,14 - 173 - 3,5 - 44 - 0
Fumbles: Number - Lost,26 - 8,18 - 8
Penalties: Number - Yards,83 - 737,90 - 719
Time of Possession / Game,28:20.77,31:31.46
3rd Down Conversions: Conversion %,36.87%,34.69%
3rd Down Conversions: Attempts - Conversions,179 - 66,196 - 68
4th Down Conversions: Conversion %,50%,38.1%
4th Down Conversions: Attempts - Conversions,22 - 11,21 - 8
Red Zone: Success %,81.13%,82.86%
Red Zone: Attempts - Scores,53 - 43,35 - 29
Field Goals: Success %,57.7%,73.3%
Field Goals: Attempts - Made,26 - 15,30 - 22
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,49 - 49,25 - 25
2-Point Conversions: Success %,0%,0%
2-Point Conversions: Attempts - Made,2 - 0,1 - 0
