Split,Record
All Games,9-5
at Home,7-0
on Road/Neutral Site,2-5
vs. Conference,6-3
vs. Non-Conference,3-2
vs. Ranked (AP),0-3
vs. Unranked (AP),9-2
vs. FBS (I-A),8-5
vs. FCS (I-AA),1-0
vs. FBS Winning,4-4
vs. FBS Non-Winning,4-1
vs. BCS AQ,6-5
vs. BCS non-AQ,2-0
vs. FBS Power 5,6-4
vs. FBS non-Power 5,2-1
in August/September,4-1
in October,1-2
in November,4-0
in December/January,0-2
