Split,Record
All Games,3-9
at Home,2-4
on Road/Neutral Site,1-5
vs. Conference,2-6
vs. Non-Conference,1-3
vs. Ranked (AP),0-3
vs. Unranked (AP),3-6
vs. FBS (I-A),2-9
vs. FCS (I-AA),1-0
vs. FBS Winning,2-9
vs. FBS Non-Winning,0-0
vs. BCS AQ,2-8
vs. BCS non-AQ,0-1
vs. FBS Power 5,2-8
vs. FBS non-Power 5,0-1
in August/September,0-5
in October,2-1
in November,1-3
in December/January,0-0
