Split,Record
All Games,4-8
at Home,2-4
on Road/Neutral Site,2-4
vs. Conference,2-6
vs. Non-Conference,2-2
vs. Ranked (AP),1-3
vs. Unranked (AP),3-5
vs. FBS (I-A),4-8
vs. FCS (I-AA),0-0
vs. FBS Winning,2-7
vs. FBS Non-Winning,2-1
vs. BCS AQ,2-8
vs. BCS non-AQ,2-0
vs. FBS Power 5,0-2
vs. FBS non-Power 5,4-6
in August/September,2-2
in October,0-4
in November,2-2
in December/January,0-0
