Split,Record
All Games,6-7
at Home,3-3
on Road/Neutral Site,3-4
vs. Conference,4-4
vs. Non-Conference,2-3
vs. Ranked (AP),0-3
vs. Unranked (AP),6-4
vs. FBS (I-A),5-7
vs. FCS (I-AA),1-0
vs. FBS Winning,2-5
vs. FBS Non-Winning,3-2
vs. BCS AQ,5-7
vs. BCS non-AQ,0-0
vs. FBS Power 5,5-5
vs. FBS non-Power 5,0-2
in August/September,3-2
in October,1-2
in November,2-2
in December/January,0-1
