column_0,Auburn,Opponents
Scoring: Points/Game,23.9,20.4
Scoring: Games - Points,10 - 239,10 - 204
First Downs: Total,208,193
First Downs: Rushing - Passing - By Penalty,107 - 85 - 16,51 - 117 - 25
Rushing: Yards / Attempt,4.37,2.72
Rushing: Attempts - Yards - TD,387 - 1693 - 17,338 - 919 - 11
Passing: Rating,120.68,135.16
Passing: Yards,1836,2413
Passing: Attempts - Completions - Interceptions - TD,298 - 185 - 3 - 8,310 - 198 - 9 - 11
Total Offense: Yards / Play,5.15,5.14
Total Offense: Plays - Yards,685 - 3529,648 - 3332
Punt Returns: Yards / Return,4.15,6.00
Punt Returns: Returns - Yards - TD,13 - 54 - 0,8 - 48 - 0
Kickoff Returns: Yards / Return,25.79,21.73
Kickoff Returns: Returns - Yards - TD,14 - 361 - 1,11 - 239 - 0
Punting: Yards / Punt,42.40,45.81
Punting: Punts - Yards,42 - 1781,42 - 1924
Interceptions: Returns - Yards - TD,9 - 193 - 1,3 - 91 - 1
Fumbles: Number - Lost,11 - 3,9 - 5
Penalties: Number - Yards,79 - 640,59 - 528
Time of Possession / Game,30:29.70,29:07.60
3rd Down Conversions: Conversion %,36.76%,35.82%
3rd Down Conversions: Attempts - Conversions,136 - 50,134 - 48
4th Down Conversions: Conversion %,50%,61.11%
4th Down Conversions: Attempts - Conversions,20 - 10,18 - 11
Red Zone: Success %,85.71%,85.29%
Red Zone: Attempts - Scores,35 - 30,34 - 29
Field Goals: Success %,76.2%,78.9%
Field Goals: Attempts - Made,21 - 16,19 - 15
PAT Kicking: Success %,100%,90.5%
PAT Kicking: Attempts - Made,25 - 25,21 - 19
2-Point Conversions: Success %,100%,0%
2-Point Conversions: Attempts - Made,2 - 2,2 - 0
