Date,Opponent,Result,Game Time,Attendance
09/04/21,Florida Atlantic,W 35-14,3:51,86840
09/11/21,@ USF,W 42-20,3:25,64692
09/18/21,2 Alabama,L 29-31,3:29,90887
09/25/21,Tennessee,W 38-14,3:13,88478
10/02/21,@ 18 Kentucky,L 13-20,3:27,61632
10/09/21,Vanderbilt,W 42-0,3:21,86258
10/16/21,@ LSU,L 42-49,3:34,96012
10/30/21,+ 1 Georgia,L 7-34,3:06,76141
11/06/21,@ South Carolina,L 17-40,3:07,70131
11/13/21,Samford,W 70-52,3:29,70098
11/20/21,@ Missouri,L 23-24,3:36,47818
11/27/21,Florida State,W 24-21,3:53,88491
12/23/21,+ UCF,L 17-29,3:40,63669
