Date,Opponent,Result,Game Time,Attendance
09/03/16,North Carolina Central,W 49-6,3:26,35049
09/10/16,Wake Forest,L 14-24,3:18,21077
09/17/16,@ Northwestern,L 13-24,3:17,34464
09/24/16,@ Notre Dame,W 38-35,3:14,80795
10/01/16,Virginia,L 20-34,3:28,25201
10/08/16,Army,W 13-6,3:06,20613
10/14/16,@ 15 Louisville,L 14-24,2:52,55121
10/29/16,@ Georgia Tech,L 35-38,3:23,43886
11/05/16,18 Virginia Tech,L 21-24,3:18,38217
11/10/16,North Carolina,W 28-27,3:27,39212
11/19/16,@ 22 Pittsburgh,L 14-56,3:01,35425
11/26/16,@ Miami (FL),L 21-40,3:30,57396
