column_0,Tulsa,Opponents
Scoring: Points/Game,25.9,31.3
Scoring: Games - Points,12 - 311,12 - 376
First Downs: Total,263,233
First Downs: Rushing - Passing - By Penalty,103 - 135 - 25,103 - 99 - 31
Rushing: Yards / Attempt,3.30,4.48
Rushing: Attempts - Yards - TD,503 - 1660 - 18,496 - 2221 - 29
Passing: Rating,131.90,129.36
Passing: Yards,3376,2516
Passing: Attempts - Completions - Interceptions - TD,444 - 254 - 9 - 20,339 - 191 - 5 - 14
Total Offense: Yards / Play,5.32,5.67
Total Offense: Plays - Yards,947 - 5036,835 - 4737
Punt Returns: Yards / Return,4.14,9.04
Punt Returns: Returns - Yards - TD,14 - 58 - 0,23 - 208 - 0
Kickoff Returns: Yards / Return,19.04,20.10
Kickoff Returns: Returns - Yards - TD,26 - 495 - 0,49 - 985 - 1
Punting: Yards / Punt,41.84,42.89
Punting: Punts - Yards,63 - 2636,63 - 2702
Interceptions: Returns - Yards - TD,5 - 37 - 0,9 - 120 - 2
Fumbles: Number - Lost,21 - 10,14 - 13
Penalties: Number - Yards,109 - 949,101 - 875
Time of Possession / Game,30:39.25,29:20.75
3rd Down Conversions: Conversion %,42.93%,34.08%
3rd Down Conversions: Attempts - Conversions,205 - 88,179 - 61
4th Down Conversions: Conversion %,56.52%,67.74%
4th Down Conversions: Attempts - Conversions,23 - 13,31 - 21
Red Zone: Success %,81.63%,76.74%
Red Zone: Attempts - Scores,49 - 40,43 - 33
Field Goals: Success %,62.5%,82.4%
Field Goals: Attempts - Made,24 - 15,17 - 14
PAT Kicking: Success %,97.4%,97.8%
PAT Kicking: Attempts - Made,39 - 38,45 - 44
2-Point Conversions: Success %,-,0%
2-Point Conversions: Attempts - Made,0 - 0,2 - 0
