column_0,Duke,Opponents
Scoring: Points/Game,26.9,19.0
Scoring: Games - Points,13 - 350,13 - 247
First Downs: Total,244,264
First Downs: Rushing - Passing - By Penalty,98 - 117 - 29,111 - 138 - 15
Rushing: Yards / Attempt,4.85,3.90
Rushing: Attempts - Yards - TD,448 - 2174 - 26,473 - 1845 - 15
Passing: Rating,119.79,121.46
Passing: Yards,2351,2740
Passing: Attempts - Completions - Interceptions - TD,357 - 200 - 8 - 14,417 - 260 - 10 - 11
Total Offense: Yards / Play,5.62,5.15
Total Offense: Plays - Yards,805 - 4525,890 - 4585
Punt Returns: Yards / Return,9.31,3.00
Punt Returns: Returns - Yards - TD,16 - 149 - 0,18 - 54 - 0
Kickoff Returns: Yards / Return,21.13,20.11
Kickoff Returns: Returns - Yards - TD,16 - 338 - 0,28 - 563 - 1
Punting: Yards / Punt,46.31,39.54
Punting: Punts - Yards,55 - 2547,56 - 2214
Interceptions: Returns - Yards - TD,10 - 53 - 1,8 - 71 - 0
Fumbles: Number - Lost,10 - 7,14 - 5
Penalties: Number - Yards,73 - 583,82 - 745
Time of Possession / Game,28:59.62,31:00.38
3rd Down Conversions: Conversion %,36.81%,38.25%
3rd Down Conversions: Attempts - Conversions,163 - 60,183 - 70
4th Down Conversions: Conversion %,60%,39.29%
4th Down Conversions: Attempts - Conversions,20 - 12,28 - 11
Red Zone: Success %,86.05%,74.42%
Red Zone: Attempts - Scores,43 - 37,43 - 32
Field Goals: Success %,78.3%,73.1%
Field Goals: Attempts - Made,23 - 18,26 - 19
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,38 - 38,24 - 24
2-Point Conversions: Success %,75%,66.67%
2-Point Conversions: Attempts - Made,4 - 3,3 - 2
