column_0,Temple,Opponents
Scoring: Points/Game,29.6,26.7
Scoring: Games - Points,10 - 296,10 - 267
First Downs: Total,187,201
First Downs: Rushing - Passing - By Penalty,77 - 101 - 9,97 - 82 - 22
Rushing: Yards / Attempt,4.56,4.96
Rushing: Attempts - Yards - TD,346 - 1577 - 12,394 - 1954 - 22
Passing: Rating,153.66,129.64
Passing: Yards,2041,1797
Passing: Attempts - Completions - Interceptions - TD,277 - 177 - 1 - 24,256 - 152 - 7 - 13
Total Offense: Yards / Play,5.81,5.77
Total Offense: Plays - Yards,623 - 3618,650 - 3751
Punt Returns: Yards / Return,14.50,1.80
Punt Returns: Returns - Yards - TD,12 - 174 - 0,5 - 9 - 0
Kickoff Returns: Yards / Return,16.80,17.70
Kickoff Returns: Returns - Yards - TD,20 - 336 - 0,10 - 177 - 0
Punting: Yards / Punt,41.71,46.42
Punting: Punts - Yards,49 - 2044,43 - 1996
Interceptions: Returns - Yards - TD,7 - 106 - 1,1 - 0 - 0
Fumbles: Number - Lost,6 - 1,10 - 6
Penalties: Number - Yards,47 - 488,49 - 394
Time of Possession / Game,30:27.00,29:30.00
3rd Down Conversions: Conversion %,37.8%,39.68%
3rd Down Conversions: Attempts - Conversions,127 - 48,126 - 50
4th Down Conversions: Conversion %,80%,72.73%
4th Down Conversions: Attempts - Conversions,15 - 12,22 - 16
Red Zone: Success %,88.89%,88.57%
Red Zone: Attempts - Scores,36 - 32,35 - 31
Field Goals: Success %,76.9%,87.5%
Field Goals: Attempts - Made,13 - 10,8 - 7
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,38 - 38,32 - 32
2-Point Conversions: Success %,-,66.67%
2-Point Conversions: Attempts - Made,0 - 0,3 - 2
