Date,Opponent,Result,Game Time,Attendance
09/03/16,Massachusetts,W 24-7,3:17,88121
09/10/16,Kentucky,W 45-7,3:23,85821
09/17/16,North Texas,W 32-0,3:20,86848
09/24/16,@ Tennessee,L 28-38,3:46,102455
10/01/16,@ Vanderbilt,W 13-6,3:19,30565
10/15/16,Missouri,W 40-14,3:31,88825
10/29/16,+ Georgia,W 24-10,3:25,84681
11/05/16,@ Arkansas,L 10-31,3:27,74432
11/12/16,South Carolina,W 20-7,3:12,89614
11/19/16,@ 19 LSU,W 16-10,3:14,102043
11/26/16,@ 10 Florida State,L 13-31,3:24,78342
12/03/16,+ 1 Alabama,L 16-54,3:27,74632
01/02/17,+ 21 Iowa,W 30-3,3:30,51119
