column_0,Boston College,Opponents
Scoring: Points/Game,29.0,32.2
Scoring: Games - Points,13 - 377,13 - 418
First Downs: Total,277,306
First Downs: Rushing - Passing - By Penalty,172 - 95 - 10,127 - 166 - 13
Rushing: Yards / Attempt,4.99,4.77
Rushing: Attempts - Yards - TD,659 - 3291 - 27,527 - 2512 - 19
Passing: Rating,133.52,150.09
Passing: Yards,2288,3711
Passing: Attempts - Completions - Interceptions - TD,305 - 161 - 6 - 20,456 - 297 - 10 - 29
Total Offense: Yards / Play,5.79,6.33
Total Offense: Plays - Yards,964 - 5579,983 - 6223
Punt Returns: Yards / Return,8.83,5.52
Punt Returns: Returns - Yards - TD,18 - 159 - 0,27 - 149 - 0
Kickoff Returns: Yards / Return,21.26,21.14
Kickoff Returns: Returns - Yards - TD,46 - 978 - 0,22 - 465 - 0
Punting: Yards / Punt,42.40,41.49
Punting: Punts - Yards,67 - 2841,59 - 2448
Interceptions: Returns - Yards - TD,10 - 61 - 1,6 - 41 - 0
Fumbles: Number - Lost,17 - 6,15 - 7
Penalties: Number - Yards,66 - 486,76 - 538
Time of Possession / Game,27:48.62,32:11.38
3rd Down Conversions: Conversion %,43%,46.45%
3rd Down Conversions: Attempts - Conversions,207 - 89,211 - 98
4th Down Conversions: Conversion %,54.17%,68.18%
4th Down Conversions: Attempts - Conversions,24 - 13,22 - 15
Red Zone: Success %,81.25%,90.57%
Red Zone: Attempts - Scores,48 - 39,53 - 48
Field Goals: Success %,66.7%,89.3%
Field Goals: Attempts - Made,18 - 12,28 - 25
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,45 - 45,49 - 49
2-Point Conversions: Success %,25%,-
2-Point Conversions: Attempts - Made,4 - 1,0 - 0
