Split,Record
All Games,13-2
at Home,7-0
on Road/Neutral Site,6-2
vs. Conference,8-2
vs. Non-Conference,5-0
vs. Ranked (AP),4-1
vs. Unranked (AP),9-1
vs. FBS (I-A),12-2
vs. FCS (I-AA),1-0
vs. FBS Winning,7-2
vs. FBS Non-Winning,5-0
vs. BCS AQ,10-2
vs. BCS non-AQ,2-0
vs. FBS Power 5,9-2
vs. FBS non-Power 5,3-0
in August/September,4-0
in October,3-1
in November,4-0
in December/January,2-1
