column_0,Tulsa,Opponents
Scoring: Points/Game,42.5,29.8
Scoring: Games - Points,13 - 552,13 - 388
First Downs: Total,373,261
First Downs: Rushing - Passing - By Penalty,182 - 165 - 26,107 - 138 - 16
Rushing: Yards / Attempt,5.12,4.36
Rushing: Attempts - Yards - TD,665 - 3402 - 33,526 - 2292 - 28
Passing: Rating,142.91,116.22
Passing: Yards,3449,3252
Passing: Attempts - Completions - Interceptions - TD,449 - 267 - 12 - 33,487 - 260 - 10 - 16
Total Offense: Yards / Play,6.15,5.47
Total Offense: Plays - Yards,"1,114 - 6851","1,013 - 5544"
Punt Returns: Yards / Return,8.96,8.29
Punt Returns: Returns - Yards - TD,25 - 224 - 0,17 - 141 - 0
Kickoff Returns: Yards / Return,20.25,23.70
Kickoff Returns: Returns - Yards - TD,40 - 810 - 0,64 - 1517 - 0
Punting: Yards / Punt,41.75,41.63
Punting: Punts - Yards,64 - 2672,86 - 3580
Interceptions: Returns - Yards - TD,10 - 184 - 3,12 - 147 - 3
Fumbles: Number - Lost,17 - 9,21 - 11
Penalties: Number - Yards,78 - 684,99 - 861
Time of Possession / Game,29:41.92,30:18.08
3rd Down Conversions: Conversion %,46.19%,37.12%
3rd Down Conversions: Attempts - Conversions,210 - 97,229 - 85
4th Down Conversions: Conversion %,60%,53.13%
4th Down Conversions: Attempts - Conversions,15 - 9,32 - 17
Red Zone: Success %,89.39%,82%
Red Zone: Attempts - Scores,66 - 59,50 - 41
Field Goals: Success %,80.8%,90%
Field Goals: Attempts - Made,26 - 21,20 - 18
PAT Kicking: Success %,100%,97.8%
PAT Kicking: Attempts - Made,67 - 67,45 - 44
2-Point Conversions: Success %,0%,33.33%
2-Point Conversions: Attempts - Made,1 - 0,3 - 1
