column_0,Florida,Opponents
Scoring: Points/Game,30.7,26.8
Scoring: Games - Points,13 - 399,13 - 348
First Downs: Total,289,260
First Downs: Rushing - Passing - By Penalty,125 - 148 - 16,111 - 115 - 34
Rushing: Yards / Attempt,5.48,4.46
Rushing: Attempts - Yards - TD,495 - 2713 - 26,478 - 2131 - 19
Passing: Rating,143.18,124.90
Passing: Yards,3304,2651
Passing: Attempts - Completions - Interceptions - TD,416 - 265 - 18 - 27,395 - 226 - 9 - 19
Total Offense: Yards / Play,6.60,5.48
Total Offense: Plays - Yards,911 - 6017,873 - 4782
Punt Returns: Yards / Return,6.75,9.20
Punt Returns: Returns - Yards - TD,24 - 162 - 0,10 - 92 - 0
Kickoff Returns: Yards / Return,17.21,24.16
Kickoff Returns: Returns - Yards - TD,24 - 413 - 0,32 - 773 - 1
Punting: Yards / Punt,44.10,40.98
Punting: Punts - Yards,52 - 2293,65 - 2664
Interceptions: Returns - Yards - TD,9 - 43 - 0,18 - 302 - 2
Fumbles: Number - Lost,11 - 3,11 - 4
Penalties: Number - Yards,104 - 918,67 - 599
Time of Possession / Game,30:29.23,28:44.46
3rd Down Conversions: Conversion %,41.38%,35.23%
3rd Down Conversions: Attempts - Conversions,174 - 72,176 - 62
4th Down Conversions: Conversion %,56%,45%
4th Down Conversions: Attempts - Conversions,25 - 14,20 - 9
Red Zone: Success %,86.27%,83.72%
Red Zone: Attempts - Scores,51 - 44,43 - 36
Field Goals: Success %,66.7%,69.6%
Field Goals: Attempts - Made,15 - 10,23 - 16
PAT Kicking: Success %,96.1%,97.6%
PAT Kicking: Attempts - Made,51 - 49,41 - 40
2-Point Conversions: Success %,50%,50%
2-Point Conversions: Attempts - Made,2 - 1,2 - 1
