Split,Record
All Games,8-2
at Home,5-0
on Road/Neutral Site,3-2
vs. Conference,5-1
vs. Non-Conference,3-1
vs. Ranked (AP),0-1
vs. Unranked (AP),8-1
vs. FBS (I-A),8-2
vs. FCS (I-AA),0-0
vs. FBS Winning,3-1
vs. FBS Non-Winning,5-1
vs. BCS AQ,7-2
vs. BCS non-AQ,1-0
vs. FBS Power 5,2-1
vs. FBS non-Power 5,6-1
in August/September,4-1
in October,2-1
in November,2-0
in December/January,0-0
