Date,Opponent,Result,Game Time,Attendance
09/02/23,+ 17 Tennessee,L 13-49,3:32,69507
09/09/23,James Madison,L 35-36,4:40,56508
09/15/23,@ Maryland,L 14-42,3:25,37041
09/22/23,21 NC State,L 21-24,3:39,42979
09/30/23,@ Boston College,L 24-27,3:26,41868
10/07/23,William & Mary,W 27-13,3:04,38289
10/21/23,@ North Carolina,W 31-27,3:21,50500
10/28/23,@ Miami (FL),L 26-29,3:05,58503
11/04/23,Georgia Tech,L 17-45,3:13,42606
11/09/23,@ 19 Louisville,L 24-31,3:32,44628
11/18/23,Duke,W 30-27,3:18,36400
11/25/23,Virginia Tech,L 17-55,3:24,42976
