Split,Record
All Games,10-4
at Home,7-0
on Road/Neutral Site,3-4
vs. Conference,7-2
vs. Non-Conference,3-2
vs. Ranked (AP),3-4
vs. Unranked (AP),7-0
vs. FBS (I-A),9-4
vs. FCS (I-AA),1-0
vs. FBS Winning,5-4
vs. FBS Non-Winning,4-0
vs. BCS AQ,7-4
vs. BCS non-AQ,2-0
vs. FBS Power 5,7-3
vs. FBS non-Power 5,2-1
in August/September,4-1
in October,2-1
in November,4-0
in December/January,0-2
