Split,Record
All Games,1-10
at Home,1-6
on Road/Neutral Site,0-4
vs. Conference,0-7
vs. Non-Conference,1-3
vs. Ranked (AP),0-2
vs. Unranked (AP),1-8
vs. FBS (I-A),0-10
vs. FCS (I-AA),1-0
vs. FBS Winning,0-7
vs. FBS Non-Winning,0-3
vs. BCS AQ,0-9
vs. BCS non-AQ,0-1
vs. FBS Power 5,0-8
vs. FBS non-Power 5,0-2
in August/September,1-3
in October,0-4
in November,0-3
in December/January,0-0
