Split,Record
All Games,2-10
at Home,2-4
on Road/Neutral Site,0-6
vs. Conference,1-7
vs. Non-Conference,1-3
vs. Ranked (AP),0-3
vs. Unranked (AP),2-7
vs. FBS (I-A),2-10
vs. FCS (I-AA),0-0
vs. FBS Winning,1-7
vs. FBS Non-Winning,1-3
vs. BCS AQ,1-8
vs. BCS non-AQ,1-2
vs. FBS Power 5,0-1
vs. FBS non-Power 5,2-9
in August/September,1-4
in October,1-3
in November,0-3
in December/January,0-0
