Split,Record
All Games,8-5
at Home,6-1
on Road/Neutral Site,2-4
vs. Conference,5-3
vs. Non-Conference,3-2
vs. Ranked (AP),1-2
vs. Unranked (AP),7-3
vs. FBS (I-A),7-5
vs. FCS (I-AA),1-0
vs. FBS Winning,2-5
vs. FBS Non-Winning,5-0
vs. BCS AQ,7-4
vs. BCS non-AQ,0-1
vs. FBS Power 5,2-1
vs. FBS non-Power 5,5-4
in August/September,3-1
in October,2-2
in November,3-1
in December/January,0-1
