Split,Record
All Games,3-7
at Home,3-1
on Road/Neutral Site,0-6
vs. Conference,2-5
vs. Non-Conference,1-2
vs. Ranked (AP),1-4
vs. Unranked (AP),2-3
vs. FBS (I-A),2-7
vs. FCS (I-AA),1-0
vs. FBS Winning,1-6
vs. FBS Non-Winning,1-1
vs. BCS AQ,2-7
vs. BCS non-AQ,0-0
vs. FBS Power 5,2-6
vs. FBS non-Power 5,0-1
in August/September,1-3
in October,2-1
in November,0-3
in December/January,0-0
