Split,Record
All Games,3-9
at Home,3-4
on Road/Neutral Site,0-5
vs. Conference,1-7
vs. Non-Conference,2-2
vs. Ranked (AP),0-0
vs. Unranked (AP),3-9
vs. FBS (I-A),2-9
vs. FCS (I-AA),1-0
vs. FBS Winning,0-6
vs. FBS Non-Winning,2-3
vs. BCS AQ,1-9
vs. BCS non-AQ,1-0
vs. FBS Power 5,0-2
vs. FBS non-Power 5,2-7
in August/September,2-2
in October,0-4
in November,1-3
in December/January,0-0
