Date,Opponent,Result,Game Time,Attendance
08/31/24,Richmond,W 34-13,4:49,40811
09/07/24,@ Wake Forest,W 31-30,3:36,30012
09/14/24,Maryland,L 13-27,3:21,41352
09/21/24,@ Coastal Carolina,W 43-24,3:17,22104
10/05/24,Boston College,W 24-14,3:04,38285
10/12/24,Louisville,L 20-24,3:26,32688
10/19/24,@ 14 Clemson,L 31-48,3:20,80100
10/26/24,North Carolina,L 14-41,3:10,44550
11/09/24,@ Pittsburgh,W 24-19,3:20,56693
11/16/24,@ 2 Notre Dame,L 14-35,3:27,77622
11/23/24,12 SMU,L 7-33,3:15,36305
11/30/24,@ Virginia Tech,L 17-37,3:15,65632
