column_0,Alabama,Opponents
Scoring: Points/Game,45.6,18.1
Scoring: Games - Points,15 - 684,15 - 271
First Downs: Total,371,253
First Downs: Rushing - Passing - By Penalty,155 - 195 - 21,93 - 131 - 29
Rushing: Yards / Attempt,5.21,3.53
Rushing: Attempts - Yards - TD,571 - 2976 - 33,516 - 1819 - 11
Passing: Rating,197.34,115.79
Passing: Yards,4854,2974
Passing: Attempts - Completions - Interceptions - TD,438 - 301 - 8 - 52,465 - 244 - 14 - 22
Total Offense: Yards / Play,7.76,4.89
Total Offense: Plays - Yards,"1,009 - 7830",981 - 4793
Punt Returns: Yards / Return,14.71,2.67
Punt Returns: Returns - Yards - TD,17 - 250 - 1,9 - 24 - 0
Kickoff Returns: Yards / Return,23.77,20.12
Kickoff Returns: Returns - Yards - TD,22 - 523 - 1,41 - 825 - 0
Punting: Yards / Punt,35.76,41.89
Punting: Punts - Yards,42 - 1502,93 - 3896
Interceptions: Returns - Yards - TD,14 - 276 - 4,8 - 149 - 2
Fumbles: Number - Lost,16 - 7,14 - 7
Penalties: Number - Yards,87 - 796,92 - 776
Time of Possession / Game,30:19.67,29:31.80
3rd Down Conversions: Conversion %,52.12%,34.23%
3rd Down Conversions: Attempts - Conversions,165 - 86,222 - 76
4th Down Conversions: Conversion %,46.67%,45.83%
4th Down Conversions: Attempts - Conversions,15 - 7,24 - 11
Red Zone: Success %,82.28%,73.17%
Red Zone: Attempts - Scores,79 - 65,41 - 30
Field Goals: Success %,75%,60%
Field Goals: Attempts - Made,20 - 15,15 - 9
PAT Kicking: Success %,90.2%,97.1%
PAT Kicking: Attempts - Made,92 - 83,35 - 34
2-Point Conversions: Success %,-,-
2-Point Conversions: Attempts - Made,0 - 0,0 - 0
