column_0,Duke,Opponents
Scoring: Points/Game,23.3,28.2
Scoring: Games - Points,12 - 280,12 - 338
First Downs: Total,258,216
First Downs: Rushing - Passing - By Penalty,95 - 143 - 20,103 - 102 - 11
Rushing: Yards / Attempt,3.89,4.48
Rushing: Attempts - Yards - TD,474 - 1843 - 19,469 - 2099 - 19
Passing: Rating,126.43,145.33
Passing: Yards,2877,2877
Passing: Attempts - Completions - Interceptions - TD,443 - 277 - 9 - 18,322 - 177 - 10 - 21
Total Offense: Yards / Play,5.15,6.29
Total Offense: Plays - Yards,917 - 4720,791 - 4976
Punt Returns: Yards / Return,8.33,9.38
Punt Returns: Returns - Yards - TD,21 - 175 - 0,16 - 150 - 1
Kickoff Returns: Yards / Return,24.55,18.67
Kickoff Returns: Returns - Yards - TD,40 - 982 - 1,42 - 784 - 0
Punting: Yards / Punt,38.82,42.21
Punting: Punts - Yards,68 - 2640,67 - 2828
Interceptions: Returns - Yards - TD,10 - 50 - 1,9 - 38 - 0
Fumbles: Number - Lost,18 - 14,15 - 9
Penalties: Number - Yards,62 - 485,72 - 585
Time of Possession / Game,31:25.50,28:34.50
3rd Down Conversions: Conversion %,43.01%,39.66%
3rd Down Conversions: Attempts - Conversions,186 - 80,174 - 69
4th Down Conversions: Conversion %,37.5%,25%
4th Down Conversions: Attempts - Conversions,24 - 9,12 - 3
Red Zone: Success %,80.49%,81.08%
Red Zone: Attempts - Scores,41 - 33,37 - 30
Field Goals: Success %,30%,76.5%
Field Goals: Attempts - Made,10 - 3,17 - 13
PAT Kicking: Success %,97.4%,100%
PAT Kicking: Attempts - Made,38 - 37,41 - 41
2-Point Conversions: Success %,0%,0%
2-Point Conversions: Attempts - Made,1 - 0,2 - 0
