column_0,Duke,Opponents
Scoring: Points/Game,32.8,22.1
Scoring: Games - Points,13 - 427,13 - 287
First Downs: Total,282,270
First Downs: Rushing - Passing - By Penalty,128 - 127 - 27,99 - 153 - 18
Rushing: Yards / Attempt,4.95,3.69
Rushing: Attempts - Yards - TD,484 - 2394 - 31,426 - 1572 - 10
Passing: Rating,140.46,134.73
Passing: Yards,3010,3345
Passing: Attempts - Completions - Interceptions - TD,400 - 255 - 6 - 20,465 - 283 - 10 - 25
Total Offense: Yards / Play,6.11,5.52
Total Offense: Plays - Yards,884 - 5404,891 - 4917
Punt Returns: Yards / Return,19.92,5.69
Punt Returns: Returns - Yards - TD,13 - 259 - 1,13 - 74 - 0
Kickoff Returns: Yards / Return,20.81,17.10
Kickoff Returns: Returns - Yards - TD,31 - 645 - 0,31 - 530 - 0
Punting: Yards / Punt,42.91,40.73
Punting: Punts - Yards,45 - 1931,55 - 2240
Interceptions: Returns - Yards - TD,10 - 93 - 1,6 - 23 - 0
Fumbles: Number - Lost,12 - 4,24 - 16
Penalties: Number - Yards,67 - 652,65 - 645
Time of Possession / Game,33:07.15,26:52.85
3rd Down Conversions: Conversion %,41.86%,43.02%
3rd Down Conversions: Attempts - Conversions,172 - 72,179 - 77
4th Down Conversions: Conversion %,58.33%,42.31%
4th Down Conversions: Attempts - Conversions,24 - 14,26 - 11
Red Zone: Success %,82.14%,87.8%
Red Zone: Attempts - Scores,56 - 46,41 - 36
Field Goals: Success %,70.8%,80%
Field Goals: Attempts - Made,24 - 17,15 - 12
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,52 - 52,33 - 33
2-Point Conversions: Success %,0%,33.33%
2-Point Conversions: Attempts - Made,2 - 0,3 - 1
