Date,Opponent,Result,Game Time,Attendance
09/04/21,@ Rutgers,L 14-61,3:23,52519
09/11/21,@ Akron,W 45-24,2:25,14573
09/18/21,Boston College,L 3-28,3:22,25290
09/25/21,Wagner,W 41-7,3:04,20179
10/02/21,Memphis,W 34-31,3:23,28573
10/08/21,@ 4 Cincinnati,L 3-52,3:18,37978
10/23/21,@ USF,L 14-34,2:57,25430
10/30/21,UCF,L 7-49,3:28,19595
11/06/21,@ East Carolina,L 3-45,3:07,32817
11/13/21,17 Houston,L 8-37,3:16,18440
11/20/21,@ Tulsa,L 10-44,3:49,16731
11/27/21,Navy,L 14-38,3:02,16708
