column_0,Auburn,Opponents
Scoring: Points/Game,33.2,19.5
Scoring: Games - Points,13 - 432,13 - 254
First Downs: Total,279,249
First Downs: Rushing - Passing - By Penalty,135 - 123 - 21,96 - 120 - 33
Rushing: Yards / Attempt,4.71,3.54
Rushing: Attempts - Yards - TD,550 - 2588 - 31,452 - 1601 - 10
Passing: Rating,128.35,120.71
Passing: Yards,2697,2780
Passing: Attempts - Completions - Interceptions - TD,397 - 229 - 6 - 20,453 - 264 - 10 - 21
Total Offense: Yards / Play,5.58,4.84
Total Offense: Plays - Yards,947 - 5285,905 - 4381
Punt Returns: Yards / Return,12.83,17.29
Punt Returns: Returns - Yards - TD,24 - 308 - 0,14 - 242 - 0
Kickoff Returns: Yards / Return,20.50,22.30
Kickoff Returns: Returns - Yards - TD,22 - 451 - 1,20 - 446 - 1
Punting: Yards / Punt,43.53,44.69
Punting: Punts - Yards,64 - 2786,85 - 3799
Interceptions: Returns - Yards - TD,10 - 238 - 2,6 - 45 - 0
Fumbles: Number - Lost,25 - 11,23 - 13
Penalties: Number - Yards,92 - 718,92 - 761
Time of Possession / Game,29:37.69,30:22.31
3rd Down Conversions: Conversion %,40.53%,29.9%
3rd Down Conversions: Attempts - Conversions,190 - 77,194 - 58
4th Down Conversions: Conversion %,46.67%,40%
4th Down Conversions: Attempts - Conversions,15 - 7,25 - 10
Red Zone: Success %,90.38%,71.79%
Red Zone: Attempts - Scores,52 - 47,39 - 28
Field Goals: Success %,72%,61.1%
Field Goals: Attempts - Made,25 - 18,18 - 11
PAT Kicking: Success %,98.1%,93.5%
PAT Kicking: Attempts - Made,53 - 52,31 - 29
2-Point Conversions: Success %,100%,0%
2-Point Conversions: Attempts - Made,1 - 1,1 - 0
