column_0,Alabama,Opponents
Scoring: Points/Game,48.5,19.4
Scoring: Games - Points,13 - 630,13 - 252
First Downs: Total,365,259
First Downs: Rushing - Passing - By Penalty,132 - 210 - 23,89 - 143 - 27
Rushing: Yards / Attempt,5.00,3.33
Rushing: Attempts - Yards - TD,477 - 2385 - 37,441 - 1470 - 15
Passing: Rating,198.99,119.37
Passing: Yards,4656,3109
Passing: Attempts - Completions - Interceptions - TD,425 - 324 - 4 - 42,468 - 272 - 12 - 15
Total Offense: Yards / Play,7.81,5.04
Total Offense: Plays - Yards,902 - 7041,909 - 4579
Punt Returns: Yards / Return,14.95,4.40
Punt Returns: Returns - Yards - TD,20 - 299 - 1,5 - 22 - 0
Kickoff Returns: Yards / Return,15.33,18.18
Kickoff Returns: Returns - Yards - TD,18 - 276 - 0,34 - 618 - 0
Punting: Yards / Punt,38.00,42.00
Punting: Punts - Yards,32 - 1216,62 - 2604
Interceptions: Returns - Yards - TD,12 - 212 - 3,4 - 83 - 0
Fumbles: Number - Lost,10 - 8,25 - 10
Penalties: Number - Yards,78 - 625,76 - 592
Time of Possession / Game,30:55.23,29:04.77
3rd Down Conversions: Conversion %,58.9%,41.5%
3rd Down Conversions: Attempts - Conversions,146 - 86,200 - 83
4th Down Conversions: Conversion %,55.56%,54.17%
4th Down Conversions: Attempts - Conversions,9 - 5,24 - 13
Red Zone: Success %,92.65%,74.36%
Red Zone: Attempts - Scores,68 - 63,39 - 29
Field Goals: Success %,100%,73.7%
Field Goals: Attempts - Made,14 - 14,19 - 14
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,84 - 84,28 - 28
2-Point Conversions: Success %,-,100%
2-Point Conversions: Attempts - Made,0 - 0,1 - 1
