column_0,Duke,Opponents
Scoring: Points/Game,25.3,29.2
Scoring: Games - Points,12 - 303,12 - 350
First Downs: Total,224,232
First Downs: Rushing - Passing - By Penalty,101 - 102 - 21,110 - 101 - 21
Rushing: Yards / Attempt,3.64,4.34
Rushing: Attempts - Yards - TD,495 - 1804 - 16,499 - 2167 - 19
Passing: Rating,112.47,123.77
Passing: Yards,2152,2388
Passing: Attempts - Completions - Interceptions - TD,378 - 213 - 14 - 18,353 - 185 - 9 - 21
Total Offense: Yards / Play,4.53,5.35
Total Offense: Plays - Yards,873 - 3956,852 - 4555
Punt Returns: Yards / Return,11.00,9.65
Punt Returns: Returns - Yards - TD,21 - 231 - 1,20 - 193 - 0
Kickoff Returns: Yards / Return,24.95,20.97
Kickoff Returns: Returns - Yards - TD,37 - 923 - 2,30 - 629 - 1
Punting: Yards / Punt,45.04,38.91
Punting: Punts - Yards,67 - 3018,68 - 2646
Interceptions: Returns - Yards - TD,9 - 88 - 0,14 - 192 - 2
Fumbles: Number - Lost,23 - 14,15 - 8
Penalties: Number - Yards,63 - 544,68 - 619
Time of Possession / Game,29:01.50,30:58.50
3rd Down Conversions: Conversion %,33.16%,37.16%
3rd Down Conversions: Attempts - Conversions,193 - 64,183 - 68
4th Down Conversions: Conversion %,60.61%,52.38%
4th Down Conversions: Attempts - Conversions,33 - 20,21 - 11
Red Zone: Success %,90.63%,84.44%
Red Zone: Attempts - Scores,32 - 29,45 - 38
Field Goals: Success %,83.3%,85%
Field Goals: Attempts - Made,18 - 15,20 - 17
PAT Kicking: Success %,100%,97.5%
PAT Kicking: Attempts - Made,34 - 34,40 - 39
2-Point Conversions: Success %,33.33%,33.33%
2-Point Conversions: Attempts - Made,3 - 1,3 - 1
